<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;10;11/01/18;14:50;199.2200000
SBERP;10;11/01/18;15:00;199.3900000
SBERP;10;11/01/18;15:10;199.7000000
SBERP;10;11/01/18;15:20;199.7600000
SBERP;10;11/01/18;15:30;199.5900000
SBERP;10;11/01/18;15:40;199.7500000
SBERP;10;11/01/18;15:50;199.3600000
SBERP;10;11/01/18;16:00;199.4600000
SBERP;10;11/01/18;16:10;199.2000000
SBERP;10;11/01/18;16:20;198.9300000
SBERP;10;11/01/18;16:30;199.0700000
SBERP;10;11/01/18;16:40;199.3900000
SBERP;10;11/01/18;16:50;199.5000000
SBERP;10;11/01/18;17:00;199.6500000
SBERP;10;11/01/18;17:10;198.9100000
SBERP;10;11/01/18;17:20;198.8500000
SBERP;10;11/01/18;17:30;199.0200000
SBERP;10;11/01/18;17:40;198.8900000
SBERP;10;11/01/18;17:50;199.4700000
SBERP;10;11/01/18;18:00;199.7300000
SBERP;10;11/01/18;18:10;199.1600000
SBERP;10;11/01/18;18:20;199.5700000
SBERP;10;11/01/18;18:30;199.6900000
SBERP;10;11/01/18;18:40;199.7800000
SBERP;10;11/01/18;18:50;199.7800000
SBERP;10;12/01/18;10:10;198.7600000
SBERP;10;12/01/18;10:20;198.9100000
SBERP;10;12/01/18;10:30;199.1100000
SBERP;10;12/01/18;10:40;198.9300000
SBERP;10;12/01/18;10:50;198.9700000
SBERP;10;12/01/18;11:00;199.1500000
SBERP;10;12/01/18;11:10;199.2500000
SBERP;10;12/01/18;11:20;199.5000000
SBERP;10;12/01/18;11:30;199.2700000
SBERP;10;12/01/18;11:40;199.3400000
SBERP;10;12/01/18;11:50;199.1900000
SBERP;10;12/01/18;12:00;199.3600000
SBERP;10;12/01/18;12:10;199.7900000
SBERP;10;12/01/18;12:20;200.5000000
SBERP;10;12/01/18;12:30;200.3100000
SBERP;10;12/01/18;12:40;199.8900000
SBERP;10;12/01/18;12:50;199.6000000
SBERP;10;12/01/18;13:00;199.3400000
SBERP;10;12/01/18;13:10;199.1000000
SBERP;10;12/01/18;13:20;199.4900000
SBERP;10;12/01/18;13:30;198.9500000
SBERP;10;12/01/18;13:40;199.3600000
SBERP;10;12/01/18;13:50;199.2400000
SBERP;10;12/01/18;14:00;199.1700000
SBERP;10;12/01/18;14:10;199.0600000
SBERP;10;12/01/18;14:20;198.8900000
SBERP;10;12/01/18;14:30;198.8200000
SBERP;10;12/01/18;14:40;198.3000000
SBERP;10;12/01/18;14:50;198.7300000
SBERP;10;12/01/18;15:00;198.8800000
SBERP;10;12/01/18;15:10;198.8800000
SBERP;10;12/01/18;15:20;198.9600000
SBERP;10;12/01/18;15:30;198.7700000
SBERP;10;12/01/18;15:40;199.3500000
SBERP;10;12/01/18;15:50;198.9900000
SBERP;10;12/01/18;16:00;199.2000000
SBERP;10;12/01/18;16:10;199.3900000
SBERP;10;12/01/18;16:20;199.4900000
SBERP;10;12/01/18;16:30;199.9000000
SBERP;10;12/01/18;16:40;199.6800000
SBERP;10;12/01/18;16:50;199.2000000
SBERP;10;12/01/18;17:00;199.2500000
SBERP;10;12/01/18;17:10;198.9100000
SBERP;10;12/01/18;17:20;198.9500000
SBERP;10;12/01/18;17:30;199.2700000
SBERP;10;12/01/18;17:40;199.6100000
SBERP;10;12/01/18;17:50;199.6700000
SBERP;10;12/01/18;18:00;199.6200000
SBERP;10;12/01/18;18:10;199.8300000
SBERP;10;12/01/18;18:20;199.7900000
SBERP;10;12/01/18;18:30;199.7200000
SBERP;10;12/01/18;18:40;199.6500000
SBERP;10;12/01/18;18:50;199.4900000
SBERP;10;15/01/18;10:10;201.7500000
SBERP;10;15/01/18;10:20;201.4700000
SBERP;10;15/01/18;10:30;202.4100000
SBERP;10;15/01/18;10:40;202.0500000
SBERP;10;15/01/18;10:50;202.2300000
SBERP;10;15/01/18;11:00;202.1300000
SBERP;10;15/01/18;11:10;202.8500000
SBERP;10;15/01/18;11:20;202.7300000
